Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;12852.77;5366.95;68.90;8971.60;12804.74;16319.03;32138.94
no_control;0 | 20;1000.00;472.75;800.60;0.00;5.80;119.89;588.91;7093.78
no_control;0 | 40;1000.00;4606.26;2921.76;0.00;2449.93;4135.85;6421.87;15533.59
no_control;0 | 60;1000.00;9305.51;4607.70;0.00;5933.81;9015.24;12320.46;27663.64
no_control;0 | 80;1000.00;11405.49;5333.80;102.30;7638.10;11030.92;14746.52;31130.53
no_control;100 | 0;1000.00;14382.64;1743.50;9431.11;13118.16;14222.40;15473.01;20239.81
no_control;100 | 100;984.00;20837.20;4100.12;11276.54;18059.60;20595.29;23337.67;35512.71
no_control;100 | 20;1000.00;13371.80;1769.01;9313.32;12174.48;13196.36;14353.01;21116.12
no_control;100 | 40;1000.00;13663.02;1808.09;9245.90;12432.64;13528.94;14704.34;21974.02
no_control;100 | 60;1000.00;15914.49;2454.75;9411.91;14193.59;15685.80;17359.69;26293.53
no_control;100 | 80;1001.00;18761.79;3411.01;11355.05;16255.09;18364.60;20914.20;36353.93
no_control;20 | 0;1000.00;2153.34;812.07;237.30;1572.20;2101.43;2652.23;5725.39
no_control;20 | 100;588.00;13794.59;5192.11;1909.42;9982.52;13783.51;17287.71;29679.29
no_control;20 | 20;1000.00;2209.57;917.37;234.74;1560.07;2073.62;2711.22;8074.46
no_control;20 | 40;1000.00;5698.77;2617.89;696.65;3859.80;5209.09;6990.05;18875.32
no_control;20 | 60;976.00;9753.65;3939.48;1134.44;6874.38;9349.34;12355.56;25174.11
no_control;20 | 80;699.00;12176.89;4899.21;551.76;8621.44;12141.03;15165.62;27942.09
no_control;40 | 0;676.00;4955.12;1182.55;2172.56;4095.18;4912.95;5714.48;9057.86
no_control;40 | 100;681.00;15511.65;5211.66;5086.27;11698.21;15304.04;18968.15;32271.46
no_control;40 | 20;708.00;4755.28;1175.87;2032.25;3919.84;4635.52;5467.89;9605.86
no_control;40 | 40;975.00;6993.22;2172.77;2428.35;5504.03;6683.59;8137.10;17683.92
no_control;40 | 60;699.00;10576.91;3545.96;3260.20;8033.55;10120.04;12763.33;24800.09
no_control;40 | 80;939.00;13318.73;4543.83;3078.41;9966.51;13104.29;16052.74;28853.63
no_control;60 | 0;1000.00;7793.86;1407.05;3665.23;6834.10;7691.45;8739.73;13290.33
no_control;60 | 100;747.00;16521.33;4555.97;6262.70;13198.93;16138.31;19579.15;30985.22
no_control;60 | 20;945.00;7211.03;1402.61;3147.77;6209.38;7173.26;8067.72;12334.75
no_control;60 | 40;1000.00;8786.47;1970.73;4377.77;7376.40;8504.47;9946.44;18058.23
