Controle;VE | GDFV (%);Média;Desvio Padrão;Mínimo;Q1 25%;Mediana 50%;Q3 (75%);Máximo
Sem controle;0 | 100;0;0;0;0;0;0;0
Sem controle;0 | 20;0;0;0;0;0;0;0
Sem controle;0 | 40;0;0;0;0;0;0;0
Sem controle;0 | 60;0;0;0;0;0;0;0
Sem controle;0 | 80;0;0;0;0;0;0;0
Sem controle;100 | 0;8687,86;566,07;6939,46;8303,2;8658,59;9046,39;10525,03
Sem controle;100 | 100;8838,5;557,99;6811,53;8471,24;8813,86;9198,67;10488,85
Sem controle;100 | 20;8749,27;559,69;7210,54;8368,12;8726,49;9086,76;10664,09
Sem controle;100 | 40;8783,11;571,25;7291;8402,24;8760,72;9162,38;10719,27
Sem controle;100 | 60;8778,91;558,19;7209,98;8386,42;8768,95;9167,61;10494,58
Sem controle;100 | 80;8826,79;595,08;7315,01;8447,82;8787,6;9180,23;15383,45
Sem controle;20 | 0;1690,31;258,45;1067,33;1515,44;1669,64;1855,51;2663,24
Sem controle;20 | 100;1341,8;701,42;0;1172,46;1606,45;1807,3;2484,05
Sem controle;20 | 20;1707,54;263,34;979,3;1520,74;1702,65;1875,39;2853,04
Sem controle;20 | 40;1704,02;263,97;1072,97;1513,76;1687,05;1884,79;2553,73
Sem controle;20 | 60;1696,19;265,11;1030,25;1514,68;1677,1;1864,59;2905,78
Sem controle;20 | 80;1436,22;616,75;0;1367,7;1620,47;1822,15;2640,72
Sem controle;40 | 0;3054,73;1266,7;0;3114,4;3487,92;3765,79;7009,11
Sem controle;40 | 100;3062,31;1305,55;0;3084,93;3483,01;3817,1;9112,72
Sem controle;40 | 20;3101,56;1217,97;0;3153,62;3500,32;3791,25;4825,43
Sem controle;40 | 40;3587,31;396,59;896,74;3312,13;3586,07;3836,36;4849,02
Sem controle;40 | 60;3031,07;1254,31;0;3104,22;3478,21;3762,38;4922,69
Sem controle;40 | 80;3600,95;370,63;2400,99;3361,84;3594,99;3851,23;4825,43
Sem controle;60 | 0;5248,97;461,63;3826,78;4916,17;5247,9;5568,29;6694,63
Sem controle;60 | 100;4599,18;1682,37;0;4773,06;5167,3;5495,27;6791,62
Sem controle;60 | 20;5256,78;449,59;3998,71;4955,15;5241,83;5549,06;6786,4
Sem controle;60 | 40;5255,34;450,21;3677,03;4954,53;5239,57;5540,62;6944,66
Sem controle;60 | 60;4559,64;1694,17;0;4760,7;5135,32;5437,26;6741,92
Sem controle;60 | 80;5313,67;474,83;3941,36;4977,97;5298,9;5616,68;6773,95
Sem controle;80 | 0;7078,44;511,94;5478,82;6738,13;7071,34;7415,41;8523,27
Sem controle;80 | 100;7144,47;510,81;5202,39;6803;7129,08;7447,76;8848,11
Sem controle;80 | 20;7118,6;516,96;5649,2;6769,93;7109,87;7474,5;9028,22
Sem controle;80 | 40;7095,9;506,05;5683,15;6749,22;7079,73;7448,17;8707,31
Sem controle;80 | 60;7153,77;513,88;5700,03;6787,63;7147,82;7489,17;8941,08
Sem controle;80 | 80;7144,54;504,63;5695,84;6797,8;7121,06;7481,24;8718,76
Volt-VAr;0 | 100;0;0;0;0;0;0;0
Volt-VAr;0 | 20;0;0;0;0;0;0;0
Volt-VAr;0 | 40;0;0;0;0;0;0;0
Volt-VAr;0 | 60;0;0;0;0;0;0;0
Volt-VAr;0 | 80;0;0;0;0;0;0;0
Volt-VAr;100 | 0;8693,88;567,78;6941,9;8308,78;8667,95;9053,3;10535,63
Volt-VAr;100 | 100;8836,65;559,4;6802,51;8468,89;8808,84;9199,75;10500,26
Volt-VAr;100 | 20;8754,71;561,39;7210,98;8373,23;8730,99;9094,52;10670,77
Volt-VAr;100 | 40;8787,7;572,96;7289,56;8405,4;8771,54;9166,84;10731,3
Volt-VAr;100 | 60;8781,94;559,7;7211,75;8390,09;8771;9174,47;10503,41
Volt-VAr;100 | 80;8830,63;629,37;7316,65;8450,92;8790,84;9184,55;17980,63
Volt-VAr;20 | 0;1688,88;258,13;1067,98;1513,66;1667,87;1853,59;2664,15
Volt-VAr;20 | 100;1704,98;265,03;1000,94;1535,45;1700,18;1864,69;2479,16
Volt-VAr;20 | 20;1705,99;262,98;979,58;1519,79;1700,84;1873,21;2849,52
Volt-VAr;20 | 40;1702,21;263,63;1070,73;1513,03;1685,5;1883,54;2550
Volt-VAr;20 | 60;1694,03;264,68;1028,88;1513,43;1675,42;1862,24;2902,93
Volt-VAr;20 | 80;1693,08;243,71;980,45;1524,15;1688,06;1854,46;2636,41
Volt-VAr;40 | 0;3587,79;381,8;838,61;3322,01;3574,17;3825,46;4849,11
Volt-VAr;40 | 100;3612,89;410,3;2598,11;3313,26;3582,52;3904,55;5236,42
Volt-VAr;40 | 20;3600,18;369,21;2647,57;3335,05;3583,76;3851,93;4824,1
Volt-VAr;40 | 40;3587,29;387,03;2444,22;3309,49;3583,62;3834,68;4843,7
Volt-VAr;40 | 60;3570,19;375,13;2527,32;3308,23;3573,62;3821,03;4918,14
Volt-VAr;40 | 80;3595,05;374,66;1779,73;3357,6;3591,28;3846,54;4818,15
Volt-VAr;60 | 0;5247,66;461,73;3826,62;4914,76;5246,66;5568,03;6695,87
Volt-VAr;60 | 100;5271,55;437,52;4164,47;4972,85;5253,33;5541;6781,29
Volt-VAr;60 | 20;5250,08;471,69;861,72;4951,8;5238,15;5547,19;6781,19
Volt-VAr;60 | 40;5253;450,32;3675,17;4952,42;5237,73;5538,74;6941,03
Volt-VAr;60 | 60;5241,45;420,59;3912,05;4950,74;5252,31;5489,74;6740,3
Volt-VAr;60 | 80;5308,9;474,77;3936,43;4973,48;5293,9;5612,64;6770,01
Volt-VAr;80 | 0;7079,94;512,69;5474,83;6739,05;7071,3;7415,18;8524,03
Volt-VAr;80 | 100;7139,06;511,34;5198,2;6795,35;7119,87;7442,69;8835,11
Volt-VAr;80 | 20;7119,66;517,73;5644,4;6771,06;7110,93;7476;9033,47
