Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;0 | 20;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;0 | 40;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;0 | 60;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;0 | 80;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;100 | 0;1000.00;4950.36;448.87;3566.90;4641.52;4930.03;5233.19;6876.45
no_control;100 | 100;1000.00;4963.99;444.17;3729.33;4647.82;4962.65;5249.43;6384.38
no_control;100 | 20;1000.00;4926.19;455.17;3602.73;4596.32;4919.64;5247.37;6239.90
no_control;100 | 40;1000.00;4929.54;452.45;3673.45;4599.69;4910.56;5217.94;6584.46
no_control;100 | 60;1000.00;4934.68;453.98;3553.38;4614.68;4928.11;5219.39;6452.01
no_control;100 | 80;1000.00;4942.04;437.99;3545.73;4635.11;4932.86;5225.87;6341.07
no_control;20 | 0;1000.00;943.80;197.64;458.78;807.18;932.62;1063.12;1819.84
no_control;20 | 100;904.00;815.95;352.52;0.00;700.88;872.42;1046.96;1891.29
no_control;20 | 20;1000.00;952.29;194.15;462.69;817.57;942.69;1078.55;1958.74
no_control;20 | 40;1000.00;958.57;205.06;474.13;810.98;945.95;1090.68;1687.79
no_control;20 | 60;1000.00;974.87;215.66;430.86;821.30;951.95;1115.40;1855.84
no_control;20 | 80;931.00;965.43;208.86;392.11;813.51;950.85;1103.79;1666.99
no_control;40 | 0;916.00;1689.92;618.93;0.00;1611.15;1833.81;2058.85;2905.00
no_control;40 | 100;933.00;1699.62;612.18;0.00;1585.88;1844.03;2064.80;2962.53
no_control;40 | 20;926.00;1685.55;636.86;0.00;1604.75;1846.87;2067.75;3368.75
no_control;40 | 40;1000.00;1898.81;294.01;1116.64;1689.06;1884.25;2085.30;2932.51
no_control;40 | 60;1000.00;1917.25;274.40;954.62;1724.85;1900.59;2102.43;2957.70
no_control;40 | 80;913.00;1703.41;614.04;0.00;1592.46;1837.45;2051.72;5309.78
no_control;60 | 0;1000.00;3065.18;358.39;1980.07;2807.19;3061.35;3303.90;4355.50
no_control;60 | 100;1000.00;3064.27;359.71;2096.70;2804.24;3051.05;3285.18;4458.89
no_control;60 | 20;1000.00;3040.30;360.13;2042.25;2792.64;3033.97;3275.00;4307.23
no_control;60 | 40;1000.00;3047.12;356.62;1925.27;2790.73;3036.02;3284.30;4279.21
no_control;60 | 60;1000.00;3056.61;350.88;2089.11;2826.69;3044.36;3286.74;4138.83
no_control;60 | 80;1000.00;3068.60;357.70;2012.50;2835.76;3063.93;3285.56;4330.20
no_control;80 | 0;1000.00;3985.62;391.00;2879.31;3712.05;3987.93;4259.26;5213.01
no_control;80 | 100;1000.00;4013.71;424.16;2761.78;3713.39;3994.36;4294.65;5419.65
