Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;4026.63;1493.49;1006.88;2874.93;3967.05;4971.20;9185.40
no_control;0 | 20;1000.00;761.02;282.17;132.17;559.62;729.73;939.78;1817.72
no_control;0 | 40;1000.00;1542.57;545.24;308.20;1158.75;1506.21;1908.37;3450.82
no_control;0 | 60;1000.00;2533.65;879.85;435.76;1904.67;2506.92;3092.58;5366.51
no_control;0 | 80;1000.00;3297.06;1176.61;772.06;2392.84;3214.90;4082.21;7516.38
no_control;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;100 | 100;1000.00;4107.44;1503.89;903.95;3078.56;3960.11;5114.84;9599.63
no_control;100 | 20;1000.00;756.63;264.22;152.62;568.70;744.52;916.18;1693.62
no_control;100 | 40;1000.00;1508.83;551.06;245.77;1098.28;1483.28;1849.47;3722.98
no_control;100 | 60;1000.00;2472.28;863.77;501.66;1867.26;2446.50;3065.11;5635.27
no_control;100 | 80;1000.00;3268.80;1155.12;656.06;2437.78;3209.23;4017.03;7419.77
no_control;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;20 | 100;905.00;3539.51;1874.12;5.83;2420.74;3622.44;4823.03;9704.34
no_control;20 | 20;1000.00;776.30;278.50;153.54;574.97;753.01;953.59;1907.36
no_control;20 | 40;1000.00;1534.28;524.99;320.64;1138.16;1513.91;1883.01;3354.82
no_control;20 | 60;1000.00;2449.29;911.23;434.62;1776.88;2410.15;3073.72;5556.76
no_control;20 | 80;931.00;3286.30;1138.26;838.03;2483.39;3169.63;4024.96;7434.52
no_control;40 | 0;918.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;40 | 100;935.00;3650.95;1810.58;3.33;2522.42;3769.49;4898.29;9352.82
no_control;40 | 20;926.00;665.90;352.76;0.00;427.87;680.81;904.61;1888.98
no_control;40 | 40;1000.00;1533.21;554.79;325.78;1137.60;1465.93;1910.86;3735.52
no_control;40 | 60;1000.00;2431.12;833.89;533.59;1812.86;2381.34;2983.12;4919.67
no_control;40 | 80;913.00;2968.77;1444.91;0.00;2088.37;2990.64;3943.04;8092.19
no_control;60 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;60 | 100;1000.00;3982.71;1380.02;795.60;2990.71;3946.30;4872.19;8734.53
no_control;60 | 20;1000.00;782.32;290.21;152.77;568.95;748.10;973.80;1726.55
no_control;60 | 40;1000.00;1533.97;552.46;311.00;1131.34;1499.41;1885.88;3735.39
no_control;60 | 60;1000.00;2517.50;910.91;464.76;1851.47;2482.91;3106.02;5375.03
no_control;60 | 80;1000.00;3231.00;1107.11;699.61;2414.68;3235.16;3996.24;7953.32
no_control;80 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
no_control;80 | 100;1000.00;4089.87;1398.52;745.07;3080.27;4040.81;5000.27;9046.56
no_control;80 | 20;1000.00;754.97;283.19;134.13;554.83;737.07;922.57;1844.03
no_control;80 | 40;1000.00;1514.02;535.38;319.07;1121.54;1459.03;1855.81;3601.90
no_control;80 | 60;1000.00;2417.30;856.71;656.84;1792.06;2324.32;3009.60;5292.90
no_control;80 | 80;1000.00;3177.13;1117.58;676.60;2369.65;3135.24;3908.84;6812.36
voltvar;0 | 100;1000.00;4000.84;1481.86;1003.82;2859.55;3945.17;4939.00;9120.49
voltvar;0 | 20;1000.00;759.90;281.69;132.06;558.97;728.71;938.48;1814.03
voltvar;0 | 40;1000.00;1538.93;543.77;307.71;1156.36;1502.68;1902.79;3441.34
voltvar;0 | 60;1000.00;2524.23;875.92;434.75;1898.04;2496.99;3079.35;5338.92
voltvar;0 | 80;1000.00;3280.80;1169.69;770.15;2381.70;3198.97;4060.70;7467.88
voltvar;100 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;100 | 100;1000.00;4081.84;1492.14;902.03;3061.74;3937.79;5078.94;9538.71
voltvar;100 | 20;1000.00;756.21;264.04;152.56;568.56;744.13;915.81;1692.60
voltvar;100 | 40;1000.00;1506.55;549.98;245.68;1096.82;1480.79;1846.05;3717.83
voltvar;100 | 60;1000.00;2464.86;860.50;501.03;1863.08;2437.46;3056.80;5619.25
voltvar;100 | 80;1000.00;3254.06;1148.40;654.52;2426.54;3192.12;3997.99;7377.80
voltvar;20 | 0;1000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;20 | 100;749.00;4090.11;1454.87;891.96;3015.18;3950.13;5035.53;10470.38
voltvar;20 | 20;1000.00;775.27;278.08;153.40;574.35;752.12;952.26;1902.88
voltvar;20 | 40;1000.00;1530.85;523.63;320.11;1136.10;1510.11;1879.03;3344.24
voltvar;20 | 60;1000.00;2440.43;907.24;433.88;1771.52;2401.75;3062.89;5534.87
voltvar;20 | 80;931.00;3272.48;1133.39;836.01;2473.24;3160.20;4010.80;7384.19
voltvar;40 | 0;782.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
voltvar;40 | 100;807.00;4085.55;1448.30;834.75;3025.77;4009.96;5084.11;9289.09
