Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;333.15;53.81;236.63;293.17;326.19;365.55;588.24
no_control;0 | 20;1000.00;255.32;4.83;231.20;252.32;255.78;258.80;267.43
no_control;0 | 40;1000.00;253.09;6.18;236.15;249.37;252.67;255.88;304.18
no_control;0 | 60;1000.00;269.04;16.78;241.80;258.03;264.96;275.88;394.05
no_control;0 | 80;1000.00;295.75;31.76;237.53;273.38;290.47;311.72;436.70
no_control;100 | 0;1000.00;852.51;68.12;678.98;804.68;849.73;894.22;1145.34
no_control;100 | 100;1000.00;788.69;62.16;621.91;744.04;786.87;832.17;1002.90
no_control;100 | 20;1000.00;806.79;69.09;594.11;756.10;805.16;852.11;1019.11
no_control;100 | 40;1000.00;779.86;66.22;611.60;733.73;777.82;822.76;998.60
no_control;100 | 60;1000.00;767.12;67.52;574.58;719.81;764.83;810.00;996.12
no_control;100 | 80;1000.00;769.97;61.38;589.21;726.24;768.22;812.47;957.98
no_control;20 | 0;1000.00;368.12;28.24;307.54;347.66;364.48;385.76;471.70
no_control;20 | 100;834.00;376.38;111.57;38.66;356.94;394.26;435.81;743.85
no_control;20 | 20;1000.00;347.29;29.10;280.30;325.97;345.55;364.60;478.36
no_control;20 | 40;1000.00;340.40;27.64;277.74;320.35;337.24;356.43;453.48
no_control;20 | 60;1000.00;351.64;29.93;288.18;330.74;348.10;370.67;494.82
no_control;20 | 80;931.00;373.96;36.90;285.65;346.55;370.62;397.88;517.23
no_control;40 | 0;867.00;437.37;118.88;52.55;433.69;464.77;494.71;638.19
no_control;40 | 100;887.00;454.65;126.75;49.22;440.87;479.57;517.22;714.37
no_control;40 | 20;882.00;408.16;122.89;51.19;408.39;437.63;468.61;815.76
no_control;40 | 40;1000.00;434.54;41.50;334.41;405.31;431.12;460.50;594.79
no_control;40 | 60;1000.00;438.77;40.09;327.39;411.61;433.72;461.62;575.30
no_control;40 | 80;866.00;428.16;113.45;45.15;418.23;447.48;479.60;1194.59
no_control;60 | 0;1000.00;609.29;53.48;444.17;571.43;607.07;643.05;819.56
no_control;60 | 100;1000.00;591.73;54.35;428.18;553.73;588.74;625.93;779.47
no_control;60 | 20;1000.00;572.81;52.96;420.44;534.48;570.12;608.10;763.07
no_control;60 | 40;1000.00;558.80;53.19;444.63;519.81;555.06;593.25;820.26
no_control;60 | 60;1000.00;555.54;51.09;436.35;519.09;552.38;587.73;730.12
no_control;60 | 80;1000.00;566.73;50.96;410.05;532.92;561.96;597.32;767.24
no_control;80 | 0;1000.00;723.09;58.17;564.99;682.76;722.22;762.57;901.11
no_control;80 | 100;1000.00;689.49;60.74;534.62;646.08;686.00;727.51;910.61
no_control;80 | 20;1000.00;685.22;61.05;516.71;643.65;680.02;725.78;871.15
no_control;80 | 40;1000.00;669.43;60.85;486.45;627.47;665.53;707.47;895.90
no_control;80 | 60;1000.00;661.55;59.62;493.83;620.78;657.44;697.24;865.76
no_control;80 | 80;1000.00;667.09;57.00;504.76;628.32;665.08;702.46;913.56
voltvar;0 | 100;1000.00;356.44;57.42;253.04;313.80;349.44;390.88;625.02
voltvar;0 | 20;1000.00;277.50;5.37;250.21;274.13;278.04;281.41;290.78
voltvar;0 | 40;1000.00;267.89;6.81;248.93;263.82;267.53;270.98;324.64
voltvar;0 | 60;1000.00;286.86;18.09;256.44;274.92;282.45;294.02;420.12
voltvar;0 | 80;1000.00;303.82;32.68;244.13;280.66;298.36;320.50;450.34
voltvar;100 | 0;1000.00;871.25;69.83;692.95;822.40;867.31;914.76;1174.18
voltvar;100 | 100;1000.00;832.03;65.30;659.68;785.32;830.31;877.56;1053.80
voltvar;100 | 20;1000.00;855.59;73.49;626.55;801.29;853.71;903.63;1080.57
voltvar;100 | 40;1000.00;839.43;71.46;658.71;789.29;837.25;886.13;1072.23
voltvar;100 | 60;1000.00;832.27;73.01;620.10;780.21;829.26;879.87;1078.91
voltvar;100 | 80;1000.00;837.49;66.40;638.27;789.88;834.91;883.23;1045.38
voltvar;20 | 0;1000.00;375.83;28.54;314.72;354.93;372.40;393.37;479.16
voltvar;20 | 100;750.00;449.60;57.63;322.01;408.05;441.99;485.03;659.14
voltvar;20 | 20;1000.00;376.77;31.22;302.86;353.93;375.34;394.97;513.55
voltvar;20 | 40;1000.00;350.18;28.00;285.17;330.03;347.17;366.48;465.83
voltvar;20 | 60;1000.00;354.88;29.79;292.23;333.96;351.07;374.25;497.01
voltvar;20 | 80;932.00;405.59;39.76;310.24;376.42;402.38;430.84;559.76
voltvar;40 | 0;783.00;496.43;45.70;393.56;464.63;491.77;524.72;815.17
voltvar;40 | 100;807.00;527.95;59.82;369.96;487.18;522.61;559.54;772.42
voltvar;40 | 20;782.00;453.26;43.30;361.15;422.28;447.05;477.73;822.69
voltvar;40 | 40;1000.00;437.58;41.35;337.52;408.23;434.06;463.64;596.27
voltvar;40 | 60;1000.00;450.94;40.64;337.12;423.77;445.93;474.33;588.38
voltvar;40 | 80;795.00;471.03;46.33;149.45;440.23;466.79;500.58;652.36
voltvar;60 | 0;1000.00;607.72;53.18;443.78;569.59;605.54;641.35;816.36
voltvar;60 | 100;1000.00;610.45;55.70;442.26;571.55;607.89;645.31;804.78
voltvar;60 | 20;1000.00;606.77;55.91;444.73;565.77;603.54;643.94;808.20
voltvar;60 | 40;1000.00;574.81;54.38;458.11;534.88;570.65;609.35;843.11
voltvar;60 | 60;1000.00;603.22;54.79;475.96;564.15;600.42;637.32;792.85
voltvar;60 | 80;1000.00;594.96;52.85;431.85;560.25;590.21;626.89;804.47
voltvar;80 | 0;1000.00;768.14;61.78;600.82;725.47;767.09;810.72;957.75
voltvar;80 | 100;1000.00;731.38;63.80;566.56;686.77;727.99;770.88;959.66
voltvar;80 | 20;1000.00;697.04;62.06;523.49;654.44;692.02;738.60;887.14
voltvar;80 | 40;1000.00;701.72;63.61;505.96;657.76;698.70;741.66;939.05
voltvar;80 | 60;1000.00;696.30;62.33;522.66;654.20;691.80;733.94;907.21
voltvar;80 | 80;1000.00;721.51;61.02;547.41;680.37;718.99;759.68;988.59
voltwatt;0 | 100;1000.00;248.33;7.10;231.86;243.59;247.45;252.14;286.29
voltwatt;0 | 20;1000.00;251.73;5.13;225.99;248.52;252.25;255.41;264.95
voltwatt;0 | 40;1000.00;245.18;4.80;229.82;241.98;245.38;248.79;257.81
voltwatt;0 | 60;1000.00;244.84;3.75;226.68;242.36;244.73;247.36;261.94
voltwatt;0 | 80;1000.00;246.40;5.06;233.21;243.07;245.84;249.20;277.69
voltwatt;100 | 0;1000.00;317.68;0.14;317.41;317.57;317.66;317.77;318.26
voltwatt;100 | 100;1000.00;287.29;6.52;268.90;282.89;286.51;291.02;315.46
voltwatt;100 | 20;1000.00;296.45;6.24;276.29;292.37;296.79;301.01;311.60
voltwatt;100 | 40;1000.00;286.97;6.55;265.31;282.73;287.42;291.50;305.02
voltwatt;100 | 60;1000.00;284.59;4.84;266.26;281.48;284.71;287.70;305.40
voltwatt;100 | 80;1000.00;285.26;4.72;265.46;282.11;284.87;288.26;309.15
voltwatt;20 | 0;1000.00;278.34;1.35;275.18;277.39;278.31;279.19;282.39
voltwatt;20 | 100;750.00;255.83;7.05;238.46;251.14;254.78;259.53;287.42
voltwatt;20 | 20;1000.00;259.95;6.71;238.71;256.50;260.19;263.65;385.25
voltwatt;20 | 40;1000.00;253.06;5.14;237.56;249.60;253.19;256.64;266.43
voltwatt;20 | 60;1000.00;252.46;4.03;239.77;249.80;252.44;254.96;270.35
voltwatt;20 | 80;932.00;253.77;5.34;218.94;250.35;253.07;256.70;281.47
voltwatt;40 | 0;783.00;287.41;1.68;281.99;286.23;287.43;288.54;292.16
voltwatt;40 | 100;807.00;263.18;8.60;245.43;258.48;262.28;267.15;414.59
voltwatt;40 | 20;783.00;268.35;14.10;40.41;264.15;269.03;272.60;465.11
voltwatt;40 | 40;1000.00;261.08;5.78;238.84;257.40;261.26;265.03;276.77
voltwatt;40 | 60;1000.00;259.84;4.34;248.12;256.75;259.80;262.71;291.08
voltwatt;40 | 80;792.00;261.24;5.30;247.20;257.65;260.65;264.32;294.78
voltwatt;60 | 0;1000.00;298.65;1.69;292.97;297.51;298.64;299.78;303.27
voltwatt;60 | 100;1000.00;271.38;6.47;255.97;267.11;270.67;274.73;304.96
voltwatt;60 | 20;1000.00;278.38;6.26;254.00;274.61;278.63;282.74;293.29
voltwatt;60 | 40;1000.00;270.77;6.22;250.77;266.82;270.95;275.04;291.48
voltwatt;60 | 60;1000.00;269.06;4.73;253.09;266.14;268.96;272.16;286.69
voltwatt;60 | 80;1000.00;270.08;5.11;255.79;266.60;269.67;273.16;292.53
voltwatt;80 | 0;1000.00;308.08;1.45;302.88;307.08;308.07;309.06;312.00
voltwatt;80 | 100;1000.00;279.49;6.75;262.95;275.09;278.74;282.84;319.80
voltwatt;80 | 20;1000.00;287.38;6.17;267.44;283.29;287.99;291.76;302.93
voltwatt;80 | 40;1000.00;278.96;6.23;256.41;274.80;279.38;283.39;294.94
voltwatt;80 | 60;1000.00;277.04;4.64;262.26;274.02;277.03;280.20;291.79
voltwatt;80 | 80;1000.00;277.88;4.76;266.75;274.74;277.46;280.60;300.68
